a asculta	to listen
a avea	to have
a avea nevoie de	to need
a cere	to ask for
a crede	to believe
a dansa	to dance
a desfiintă	to abolish
a dori	to wish/want
a face	to do/make
a face o plimbare	to take a walk
a fi	to be
a fi invitat(ă)/invitați(te)	to be invited
a găsi	to find
a înțelege	to understand
a intra	to enter
a locui	to live
a lucra	to work
a merge	to go
a merge în	cities/towns/villages/locations
a merge la	continents/countries/regions/states
a merge pe jos	to walk
a observa	to observe
a petrece	to spend time
a putea	to be able to
a recapitula	to review
a scrie	to write
a sta	to stay/live
a ști	to know
a studia	to study
a ține	to keep/hold
a veni	to come
absolvent	graduate (m)
acasă	home
acceptat	accepted
aceasta	this (f)
aceea	that (f)
acela	that (m)
acesta	this (m)
acolo	there
acțiune	action (f)
activitate	activity
acum	now
adevărat	true
adică	that is to say
adresă	address
afiș	poster (n)
agitat	restless
aici	here
alimentară	grocery store (f)
altele	others (f/n)
alții	others (m/mixed)
amabil	kind
antipatic	unpleasant
apă	water (f)
ape	waters (f, p)
apoi	afterward
aproape (de)	near (the)
așa	so, as
așa e	that's how it is
asistent	TA
asta-i viața	that's life
astăzi	today
atent	attentive
atmosferă	atmosphere (f)
automatică	computer science
avantaj	advantage
băiat	boy (m)
baie	bathroom
balcon	balcony
ban	coin (m)
bancuri	joke (n)
bandă	tape (f)
bărbat	man (m)
băutură (f)	beverage (f)
bele-arte	fine arts
benzi	tapes (f)
bere	beer (f)
bibliotecar	librarian
bine	well
biologie	biology
birou	office
bloc	apartment building (n)
brînzâ	cheese (f)
brînzeturi	cheeses (f)
bucătărie	kitchen
bun	good
Bună ziua	Hello
burete	eraser (n)
bursă	scholarship (f)
că	that
cabină telefonică	phone booth
cafea	coffee (f)
caiet	notebook (n)
cam	rather
cameră	room (f)
camera copiilor	nursery
cămin	dormitory
candidat	candidate (m)
cantină	cafeteria
care	which
carte	book (f)
carte de telefon	phone book (f)
cartier	neighborhood (n)
căsătoriţ	married
căsătoriț	married
casetofoane	tape recorders (n)
casetofon	tape recorder (m)
catedră	teacher's desk (f)
Ce	what
Ce este aceasta?	What's this?
Ce este aceea?	What's that?
ce mai (a face)?	how are things?
ceai	party (n)
ceaiuri	tea parties (n)
ceas	clock (n)
chiar	even
chimie	chemistry
chirie	rent
chitara	guitar
cîine (m)	dog
cinci	five
cind	when
cînd	when
Cine	who
cîte	how many (f/n)
cîți	how many (m)
clădire	building
clasă	class
cofetărie	coffee shop
coleg	colleague (m)
complicat	complicated
computere	computers (n)
conservator	conservatory (music)
copil	child (m)
creion	pencil (n)
cretă	chalk (f)
cu	with
cu ce	with what
cu cine	with whom
cuier	coat rack (n)
cum	how
curs	course
curte	back yard
dacă	if
De ce?	why?
debara	pantry
deci	thus
deja	already
deocamdată	for the time being
deosebit	special
departe	far/distant
des	often
destul de	fairly
devreme	early
dicționar	dictionary (n)
dimineața	in the morning
din când în când	from time to time
din nou	again
discuri	records (n)
doamnă	Mrs.
doctor	doctor (m)
doctori	doctors (m)
doi	two (m)
doisprezece	twelve (m)
doresc	I/they want
dorește	he wants
dorești	you want
dorim	we want
doriți	y'all want
dormitor	bedroom
două	two (f/n)
douăsprezece	twelve (f/n)
drăguț	nice
drept	law
dulap	closet (n)
duminică	
duminică	Sunday
după masă	in the afternoon
educație fizică	physical education
elev	elementary school student
entuziast	enthusiastic
etaj	floor
fabrică	factory (f)
facultate	department
fată	girl (f)
femei	women (f)
femeie	woman (f)
fereastră	window (f)
fericit	happy
filologie	philology (f)
fix	exactly
fizică	physics
floare	flower
foarte	very
frate	brother (m)
frați	brothers (m)
frecventă	attendance (f)
friptură	steak (f)
garaj	garage
garsonieră	efficiency apartment (f)
găsesc	I/they find
găsește	he finds
găsești	you find
găsim	we find
găsiți	y'all know
gazdă	host (f)
geologie	geology
ghid	guidebook
ghiveci	flowerpot
glumă	joke (f)
grădină	garden
grădiniță	kindergarten
greșit	wrong
gustare	appetizer (f)
gustări	appetizers (f)
hartă	map (f)
hol	hall
icre	caviar (f)
idee	idea
ieftin	cheap
împreună	together
în față	in front
în spate	behind
înghetața	ice cream (f)
inginer	engineer
inteligent	smart
interesant	interesting
întotdeauna	always
întreprendere	business
irezistibil	irresistible
istoric	historical
istorie	history
joi	Thursday
la amiază	noon
la dreapta	on the right
la stînga	to the left
la timp	on time
liber	free
librărie	bookstore (f)
licee	high schools (n)
liceu	high school (n)
limba engleză	English (language)
lîngă	next to
lingvistică	linguistics
literă	letter
locuiesc	I/they live
locuiește	he lives
locuiesți	you live
locuim	we live
locuintă	residence
locuiți	y'all live
lozincă	banner (f)
lucrare de control	quiz
lucru	work
luni	Monday
luptă	fight/struggle (f)
magazin	store (n)
mai tîrziu	later
mansardă	attic
mare	sea (f)
mare (adj)	big
marți	Tuesday
masă	table (f)
mașină	car (f)
mașini	cars (f)
măslină	olive (f)
matematică	mathematics
medic	doctor
Merci	thanks
miercuri	Wednesday
mîine	tomorrow
mîini	hands (f)
mînă	hand (f)
mîncare	food (f)
minunat	wonderful
minut	minute
Mulțumesc	thank you
munte	mountain (m)
muzică	music (f)
muzici	music (f, p)
naționalitate	nationality
nebun	lunatic (m)
nebuni	lunatics (m)
nici x nici y	neither x nor y
niciodată	never
nimic	nothing
niște	some
nouă	nine
nu mai spune	no kidding?
numai	only
număr	number (n)
numărul de telefon	phone number
numere	numbers (n)
o veste buna	good news (f)
o veste proastă	bad news (f)
oameni	people (m)
obosit	tired
ocupație	occupation
om	human (m)
opinie	opinion (f)
opt	eight
oraș (n)	city/town (n)
oricît	however long
ospitalier	hospitable
ou	egg (n)
ouă	eggs (n)
pacient	patient (medical, m)
pacienti	patients (m)
pahar	cup
patru	four
pe	on
pensionar	retired person
pentru	for
pentru că	because
perete	wall (m)
persoană	person (f)
petrecere	party (f)
petreceri	parties (f)
piață	market (f)
pix	pen (n)
plajă	beach (f)
poate	he can
poimâine	the day after tomorrow
politehnică	engineering
poșta	post office (f)
pot	I/they can
poți	you can
prea	too (not too bad)
pregătit	prepared
prieten	friend (m)
profesoară	professor (f)
proprietate	property
putem	we can
puteți	y'all know
radiouri	radios (n)
rău	bad
referat	term paper (n)
remarcabil	remarkable
repartizat	assigned
revoluție	revolution (f)
riguros	rigorous
sacrificiu	sacrifice (n)
sală de baie	bathroom
salariat	employee (m)
salon	living room
săptămînal	weekly
șapte	seven
șase	six
scară	stairs
scaun	chair (n)
școală	school (f)
scriu	I/they write
scump	expensive
scuzați	excuse me
seara	evening
secundă	a second (f)
selecție	selection (f)
serios	serious
serviciu	job (n)
servietă	briefcase (f)
sever	strict
și	and
sîmbătă	Saturday
simplu	simple
sincer	sincere
singur	alone
soluție	solution
soț	husband
soție	wife
spălătorie	laundry room
stereouri	stereos (n)
știe	he knows
știi	you know
științe economice	economics/business
stilou	pen (n)
știm	we know
știți	y'all know
știu	I/they know
străin	foreign
sub	under
sufragerie	dining room
suplinitori	substitute teachers
tablă	blackboard (f)
tablouri	paintings (n)
talentat	talented
țară	country (f)
tată	father
taxă	tuition (f)
teatru	theater
tehnician	technician (m)
telefoane	phones (n)
telefon public	pay phone
televizoare	televisions (n)
televizor alb-negru	black and white television (n)
televizor în culori	color television (n)
tiner	young
tiner	young
tîrziu	late
toată lumea	everybody
toată ziua	all day
trei	three
una	one (f)
unde	where
unele	some (f/n)
uneori	sometimes
unii	some (m/mixed)
unu	one (m/n)
ușă	door (f)
vă rog	please
venim	we come
veniți	y'all come
vesel	cheerful
viață	life (f)
vieți	lives (f)
vii	you come
vin	wine (n)
vin (v)	I/they come
vine	he comes
vineri	Friday
vitrină	shop window (f)
zece	ten
zi	day (f)
ziar	newspaper (n)
ziaristică	journalism
zile	days (f)
zilnic	daily
ziua	during the day
